ISBN,TITLE,AUTHORS,YEAR,PUBLISHER,GENRE,DESCRIPTION,PAGE_COUNT,LANGUAGE,AVG_RATING,RATINGS_COUNT
9780821741313,Delta Green,William H. Lovejoy,1993,Zebra Books,Fiction,"From the author of Delta Blue comes another fast-paced technothriller featuring the super-stealth skyfighters of the Delta Force. In the jungles of Cambodia, a massive military assault is being mounted against the forces of freedom, bringing the planet to the brink of disaster. Only one force can prevent rampant world destruction: Delta Green.",390,en,,
9780340394953,The British Airways Story,Duncan Campbell-Smith,1986,,"Aeronautics, Commercial",,327,en,,
9780340321201,The Fifth Hostage,Terence Strong,1983,,Great Britain,,352,en,,
9780670856404,The Fortune Teller's Mah Jongg,Derek Walters,1994,Penguin Putnam,Divination,"An enchanting novelty for anyone fascinated by Chinese culture, the game that has challenged players for centuries has been adapted for more mystical pursuits--predicting the future and imparting wisdom. Includes complete instructions and four decks of cards representing the traditional tiles.",0,en,,
9780373520770,The Bad-Girl Bride,Jennifer Drew,1998,Harlequin Treasury-Silhouette Yours Truly 90s,Fiction,"Julie's fiance broke off the engagement because she was too nice. Now her dress is for sale and she's looking for someone to teach her the wicked ways of love. All Tom wants is a wedding dress for his sister, Tina. But suddenly he finds himself tutoring a perfectly perfect woman on the virtues of being a temptress. And before his eyes, Julie starts to blossom--and to attract. And Tom realizes that, confirmed bachelor or not, he wants this bad-girl beauty for himself.",200,en,,
9780061082306,La Flamme,Constance O'Banyon,1995,HarperPrism,Fiction,"On the King's command, Lady Sabine Woolbridge was betrothed to Garreth Blackthorn, scion of a rival English family. But when her father was murdered by men wearing the Blackthorn crest, Sabine fled to Paris, where she became an actress known only as ""La Flamme"". Sabine's attempt at revenge would draw her close to Garreth, her enemy--yet her only true love.",390,en,,
9780812095371,Hamsters,Kate Petty,1989,,Golden hamsters as pets,An introduction to guinea pigs for one interested in that animal as a pet.,52,en,,
9780671685232,Secrets Can Kill,Carolyn Keene,1989,Pocket Books,Juvenile Fiction,Nancy goes undercover as a transfer student in an attempt to catch the elusive thief who is stalking the nighttime halls at Bedford High.,164,en,,
9780312246495,Katharine Hepburn,Joal Ryan,1999,St Martins Press,Biography & Autobiography,The century-spanning life of screen legend Katharine Hepburn is provided in 125 glorious black-and-white photographs.,207,en,,
9780345358646,The Lie of the Land,Haydn Middleton,1989,,Fiction,David Nunnies is a slave to a terrifying secret from his past--an event that cut him adrift from his wife and child and that now threatens to destroy his very life,281,en,,
9780373289110,The Norman's Heart,Margaret Moore,1996,Harlequin Treasury-Harlequin Historicals 90s,Fiction,"The Norman's Heart by Margaret Moore released on Feb 23, 1996 is available now for purchase.",356,en,,
9780385260077,Cat's Eye,Margaret Atwood,1989,New York ; Toronto : Doubleday,Fiction,"Elaine Risley, a successful artist, returns to Toronto, the city of her youth, to confront painful memories of the past.",472,en,5,1
9782070361038,Zazie dans le métro,Raymond Queneau,1959,,,,253,fr,,
9780802138200,Asleep,Banana Yoshimoto,2000,Grove Press,Fiction,"In these three novellas, Yoshimoto spins the stories of three young women bewitched into a spiritual sleep. Sly and mystical as a ghost story, with a touch of Kafkaesque surrealism, ""Asleep""--now in paperback--is an enchanting book from one of the best writers in contemporary international fiction.",196,en,4.5,2
9780449908587,The Happy Isles of Oceania,Paul Theroux,1993,,Travel,Hilarious travel account of novelist Theroux's trip to 51 Pacific islands.,536,en,,
9780152017682,The Dark-angel,Meredith Ann Pierce,1998,HMH Books For Young Readers,Fiction,The servant girl Aeriel must choose between destroying her vampire master for his evil deeds or saving him for the sake of his beauty and the spark of goodness she has seen in him.,310,en,4,2
9780448413105,The Mummy's Gold,Kate McMullan,1996,,Brothers,"Jake thinks that the mummy he meets at a movie theater is part of one of his brother's tricks, but he is wrong.",0,en,,
9780515134155,Maid of Killarney,Ana Seymour,2002,Jove Books,Fiction,"John Black, the doctor turned rebel from Seymour's acclaimed Riordan Brothers trilogy, returns home to Killarney, longing for peace and quiet. Just as he returns, Lily and her daughter try to ignore the whispers of the villagers who call them witches. When Lily's daughter is nearly drowned by three ruffians, John stays by the girl's side--and soon falls for the charms of her mother. Original.",276,en,,
