ISBN,TITLE,AUTHORS,YEAR,PUBLISHER,GENRE,DESCRIPTION,PAGE_COUNT,LANGUAGE,AVG_RATING,RATINGS_COUNT
9780515113518,Lord of Raven's Peak,Catherine Coulter,1994,Penguin,Fiction,"The third novel in #1 New York Times bestselling author Catherine Coulter's Vikings series. Merrik Haraldsson, the younger brother of Rorik, the Lord of Hawkfell Island, embarks on a journey that begins in Kiev where he comes away with two slaves--Laren and her younger brother. Laren wants to tell stories to earn enough silver and gold to buy her and her little brother from Merik, only he refuses to sell her. And now that she's his, he must protect her when she's accused of murder, then save her yet again when he discovers her secrets.",401,en,,
9780674011816,For Love of Insects,Thomas Eisner,2003,Belknap Press,Nature,The authors seek to understand how insects and other arthropods use chemicals to defend themselves against predators and how some predators succeed in eating them anyway.,472,en,,
9780898799811,2001 Poet's Market,Chantelle Bentley,2000,Writer's Digest Books,Language Arts & Disciplines,A winning combination for poets who what to break into print. -- American Reference Book Annual,612,en,,
9780553586411,Dead Canaries Don't Sing,Cynthia Baxter,2004,Bantam,Fiction,"As a veterinarian, she’s more experienced with paw prints than fingerprints. But thanks to her dogged persistence and her knack for landing on her feet, Jessie’s got murder on a very short leash. The sun is barely up and the day is already going to the dogs. Literally. As Dr. Jessica Popper embarks on a house call to a local horse farm, her one-eyed Dalmatian, Lou, and her tailless Westie, Max, stumble upon something unexpected: a corpse half buried in the woods. As Max happily digs up the dead canary planted near the body, Jessie realizes that this corpse was clearly about to sing. But about what? Or whom?Enlisting the aid of her on-again, off-again lover, PI Nick Burby, Jess applies the stubbornness of a bloodhound and the agile moves of a cat to identify a menagerie of suspects…including one who wants her off the case badly enough to kill again.",402,en,,
9780394496337,The Memoirs of a Survivor,Doris Lessing,1975,Alfred A. Knopf,Fiction,Uses the daily activities of one doctor to describe the work of a pediatrician.,234,en,,
9780394498362,Kinflicks,Lisa Alther,1976,Knopf Books for Young Readers,Fiction,"In Kinflicks, Lisa Alther reels through the ups and downs of Ginny Babcock's coming of age in Hullsport, Tennessee, during the '50s and '60s. Ginny bounces from one identity to another, adopting the values, politics, lifestyle, even the sexual orientation of each new partner. In her wise, funny, and ultimately heartbreaking story, Alther explores the limited roles offered to women in the '60s - from cheerleader to motorcycle moll, bulldyke to madonna - each embodying important truths about the aspirations of the culture that created them.",552,en,,
9780886823078,Shelter the Pilgrim,Fred Licht,1990,Creative Education,Conduct of life,"Denis De Beaulieu, a French soldier, is made a prisoner by the Sire of De Maletroit, who believes that the soldier has compromised the Maletroit family honor.",48,en,,
9780761985112,Enchanting a Disenchanted World,George Ritzer,1999,"SAGE Publications, Incorporated",Social Science,"In this essential guide to how we now consume, George Ritzer provides original and probing insights into the new forms and settings of consumer culture. Ranging from hyper-real Disney worlds to the local shopping mall, these studies of the new cathedrals of consumption will be compelling to anyone interested in the cultural and economic importance of consumption in our society. George Ritzer has established himself as the foremost observer of consumer culture. This is the most important book he has written since his classic work The McDonaldization of Society.",272,en,,
9780921335061,Homes & Interiors of the 1920's,Lee Valley Tools,1987,HarperCollins,"Architecture, Colonial","Presents the 1923 catalog of the Morgan Woodwork Organization and shows home plans, furnishings, and architectural details",439,en,,
9788496080041,Noctámbulos,Cristina Cerrada,2003,,Literary Collections,,172,es,,
9780373201808,Bride by Surprise,Muriel Jensen,2000,Harlequin Books,Fiction,"Three lighthearted marriages aren't what they seem in this book of three novels for the price of one! The stories include ""The Unexpected Groom, Make-Believe Mom"", and ""Middle of the Rainbow"".",680,en,,
9780152017378,Beast Feast,Douglas Florian,1998,Houghton Mifflin Harcourt,Juvenile Nonfiction,"A collection of humorous poems about such animals as the walrus, anteater, and boa.",52,en,,
9780930031329,Permanent Londoners,"Judi Culbertson, Tom Randall",1991,,History,"London's cathedrals, churchyards, and cemeteries are the resting places of many of the most famous and colorful people of all times. There are four chapters about Westminster Abbey, the hallowed home to Sir Isaac Newton in the scientists section, Thomas Hardy and Charles Dickens on the Poet's Corner, Elizabeth I. And Mary Queen of Scouts in the Royal Tombs.",344,en,,
9780821224748,Self Portrait,Man Ray,1963,Bulfinch Press,Biography & Autobiography,"Man Ray's extraordinary autobiography, now in a lavishly illustrated paperback edition, reveals the entertaining life and times of this remarkable artist. Legendary photographer, painter, creator of objects, and filmmaker, Man Ray was one of the most versatile and inventive artists of this century. From Greenwich Village to Paris to Hollywood and back to Paris, Man Ray figured prominently in the avant-garde, Dada, and Surrealist movements. Self Portrait is Man Ray's extremely frank autobiography, long unavailable in English. This new edition, now available for the first time in paperback, is fully illustrated with 250 pictures, in color and black and white. Many of these pictures had never before been published; others have become part of popular culture, such as The Gift, an iron studded with tacks, and The Lovers, his huge painting of lips floating in the Paris sky.",319,en,,
9780451407207,Funny Bones,Joan Hess,1997,Berkley,Detective and mystery stories,"Readers will die laughing as they investigate these witty and hysterical homicides with some of mystery's best writers! Whether they're poison is Joan Hess, Carolyn G. Hart, Margaret Maron, Marlys Millhiser or Nancy Pickard, these terrific tales are sure to keep them in stitches as they attempt to solve these merry murders!",0,en,,
9780425083017,Airship Nine,Thomas Block,1985,Berkley,Fiction,"The only survivors of nuclear war are on Airship Nine, a futuristic commercial dirigible carrying both cargo and passengers over the Antarctic, scientists in isolated Antarctic communities, and Russians in a nuclear-powered submarine. The question is whether the survivors will identify as enemies or will cooperate toward surviving as human beings.",308,en,,
9780553575200,Lord Savage,Patricia Coughlin,1996,Bantam,London (England),"Schoolmistress Ariel Halliday accepts a nearly impossible assignment--to transform a savage raised on a distant Pacific Island into a gentlemen. Yet nothing prepares her for the darkly handsome ""pupil"" who is the heir apparent of the Marquis of Sage. Now Ariel has only eight weeks to complete her task--and to fall in love. Online media.",0,en,,
9780451408914,Hocus Corpus,James Tucker,1999,Onyx,Fiction,"Dr. Jack Merlin, chief of surgery, gets suspicious when four people die after successful routine operations. The victims have nothing in common--except the same insurance carrier. The more Merlin unravels the truth, the more ruthless he discovers his adversaries to be. But Merlin has one more trick up his sleeve.",420,en,,
9781564782984,Thank You for Not Reading,Dubravka Ugrešić,2003,,Language Arts & Disciplines,A critique of the book publishing industry.,188,en,,
9783442426348,Nur du kannst sie verstehen,Terry Pratchett,1997,,"Children's stories, English",,222,de,,
9780764224751,The Reckoning,Beverly Lewis,2000,,Adoptees,"Katherine Mayfield, the new Mistress of Mayfield Manor, always dreamed ofa fancy ""English"" life. But as the seasons pass, she finds herself grieving the loss of her Amish family and her dearest friend, Mary Stolzfus. Shunned from the Plain life she once knew, Katherine finds solace in volunteer work with hospice patients - a labor of love she hopes will bring honor to the memory of her birth mother",0,en,,
9780373710621,Slow Dance with a Cowboy,Linda Style,2002,Harlequin Books,Fiction,"Slow Dance With A Cowbpy by Linda Style released on May 25, 2002 is available now for purchase.",308,en,,
9780972594127,Black Deception,"Jacklyn Bush, Monica Regina Payton",2002,Professional Publishing,Biography & Autobiography,,300,en,,
9780399505966,The Indoor Cat,Patricia Curtis,1982,Perigee Books,Fiction,"With this newly updated guide, anyone who cares for an indoor cat can learn about its unique qualities and special problems -- and make sure that living together is a wonderful experience for both human and housecat. Includes clear, comprehensive discussions of diet, grooming, behavioral problems, multiple cat households, common household safety, and cutting-edge health information.",212,en,,
9780849952265,The Greatest Moments,Max Lucado,1995,C & D International,Religion,Presents a brief summary of the highlights of Jesus' life and work on earth.,136,en,,
9780441902095,Wizard's Eleven,Sheri S. Tepper,1984,Ace Books,Fiction,"The son of Marvin Manyshaped is back, so let the players of the True Game beware. The giants are stalking, the Shadowpeople gather, and the Wizard's Eleven are trapped in their dreams. The final game begins. ""Sheri S. Tepper is a fantasy phenomenon!""--Locus.",208,en,,
9780071382281,Opportunities in Event Planning Careers,Blythe Camenson,2002,McGraw-Hill Education,Business & Economics,"More than 100 opportunities for students and job seekers! The most comprehensive career book series available, Opportunities in...covers a range of professions from acting to writing, and encompasses traditional as well as cutting-edge careers. Each book offers job seekers essential information about a variety of careers within each field and includes training and education requirements, salary statistics, and professional and Internet resources.",194,en,,
9783453165151,Eine gute Partie,Vikram Seth,1999,,,,1997,de,,
9780785814535,Edgar Allan Poe Complete Tales and Poems,Edgar Allan Poe,2009,Castle Books,Fiction,"The life of American writer Edgar Allan Poe was characterized by a dramatic series of successes and failures, breakdowns and recoveries, personal gains and hopes dashed through, despite which he created some of the finest literature the world has ever known. Over time his works have influenced such major creative forces as the French poets Charles Baudelaire and Andre Gide, filmmaker D.W. Griffith and modern literary legend Allen Ginsberg. Best known for his poems and short fiction, Poe perfected the psychological thriller, invented the detective story, and rarely missed transporting the reader to his own supernatural realm. He has also been hailed posthumously as one of the finest literary critics of the nineteenth century. In Edgar Allan Poe: Complete Tales and Poems fans may indulge in all of Poe's most imaginative short-stories, including The Fall of the House of Usher, The Murders in Rue Morgue, The Tell-Tale Heart, Ligeia and Ms. In a Bottle. His complete early and miscellaneous poetic masterpieces are here also, including The Raven, Ulalume, Annabel Lee, Tamerlane, as well as select reviews and narratives.",842,en,4,4
9780746037041,I Can Draw People,Ray Gibson,1999,Usborne Books,Fiction,"Shows how to draw people including a workman, an angel, a soccer player, an astronaut, a parachutist, and an ice skater.",36,en,,
9780761513988,Increase Your Web Traffic in a Weekend,William R. Stanek,1998,Prima Lifestyles,Computers,"Aimed at beginning and intermediate Web publishers who want to improve their Web site and attract more visitors, this book allows Web publishers to tap into the tremendous potential the Web has to offer by allowing them to find out how to focus on the potential audience for their product or service.",388,en,,
9780671688912,Who Will Tell the People,William Greider,1992,New York : Simon & Schuster,Fiction,Examines Washington politics and government officials who have cracked the system.,472,en,,
9780380580408,The Dance Card,"John R Feegel, M.D., J.D., John R. Feegel",1982,Avon Books,Fiction,,324,en,,
9780658021091,1001 Ways to Save Money... and Still Have a Dazzling Wedding,Sharon Naylor,2001,McGraw Hill Professional,Family & Relationships,"In this revised edition, you'll find plenty of updated budget-trimming tips and helpful websites to ensure that you have the best of everything all at a fraction of what you might expect to pay for your wedding.",355,en,,
9781560254249,Go,Perseus,2002,Carroll & Graf,Fiction,"The first great ""Beat Generation"" novel takes readers in the heart of bohemian post-war New York City in search of the origins of this literary movement, which included such innovators as Jack Kerouac, Allen Ginsberg, and Neil Cassady. Reprint.",344,en,,
9781566912334,"Rick Steves' Germany, Austria and Switzerland 2001",Rick Steves,2000,,Austria,"From Munich to Bavaria, Vienna to Salzburg and Prague, this definitive guide is updated with new information for 2001. Over 100,000 copies have been sold of previous editions. 62 maps. Illustrations.",330,en,,
9782253043133,Le Shanghaie,André Le Gal,1986,LGF/Le Livre de Poche,,"A travers la biographie d'un jeune Malouin, c'est toute l'histoire de la fin de la marine à voile qui est évoquée en ce roman épique.",415,fr,,
9780394746234,The Civil War: A Narrative,Shelby Foote,1986,Vintage,History,"This first volume of Shelby Foote's classic narrative of the Civil War opens with Jefferson Davis’s farewell to the United Senate and ends on the bloody battlefields of Antietam and Perryville, as the full, horrible scope of America’s great war becomes clear. Exhaustively researched and masterfully written, Foote’s epic account of the Civil War unfolds like a classic novel. Includes maps throughout. ""Here, for a certainty, is one of the great historical narratives…a unique and brilliant achievement, one that must be firmly placed in the ranks of the masters.""—Van Allen Bradley, Chicago Daily News ""A stunning book full of color, life, character and a new atmosphere of the Civil War, and at the same time a narrative of unflagging power. Eloquent proof that an historian should be a writer above all else."" —Burke Davis ""To read this great narrative is to love the nation—to love it through the living knowledge of its mortal division. Whitman, who ultimately knew and loved the bravery and frailty of the soldiers, observed that the real Civil War would never be written and perhaps should not be. For me, Shelby Foote has written it.... This work was done to last forever."" —James M. Cox, Southern Review",862,en,5,5
9780590488150,On the Banks of Plum Creek,Laura Ingalls Wilder,1953,,JUVENILE FICTION,"Laura and her family overcome many hardships during their first winter in Minnesota, on their land beside Plum Creek.",356,en,,
9780877142782,Jacob's Travels,Jules M. Seletz,2002,,Fiction,"A five family saga, book three of the Pass in Review Quartet transports the readers from the Sixties into the Nineties.",400,en,,
9780030577086,The Official I Hate Cats Book,Skip Morrow,1980,Owl Books,"American wit and humor, Pictorial.",An ex-cat lover shares his diabolical feline fantasies in a humorous picture book dedicated to the potential cat hater lurking in the heart of every cat lover,64,en,,
9780297836308,Meze,Aglaia Kremezi,1996,Weidenfeld & Nicolson,"Cookery, Mediterranean",,30,en,,
9780385123136,The Imitation of Christ,a Kempis Thomas,1976,Doubleday,Religion,The world's most widely read devotional book which is described as the chief companion piece of the Bible.,213,en,,
9783499147265,Hunger und Waffen,Michael Kidron,1982,,,,0,de,,
9780688044619,"Ancestors, 900 Years in the Life of a Chinese Family",Frank Ching,1988,William Morrow,Biography & Autobiography,Parallel title in Chinese characters. Map on lining papers. Bibliography: p. 471-511. Includes index.,552,en,,
9788401590115,Palabras para Julia y otros poemas,José Agustín Goytisolo,1997,,Literatura española - Poesía - Siglo XX,Quiero decirlo ahoraporque si no despues las cosas se complican.Soy peor todavia de los que muchos creen.Me gusta justamente el plato que otro comeaburro una tras otra mis camisasme encantan los entierros y odio los recitalesduermo como una bestiadeseo que los muebles esten mas de mil anos en el mismo lugary aunque a escondidas uso tu cepillo de dientesno quiero que te peines con mi peine.Te explico estas cuestionesporque si todo vuelve a comenzarno me hagas mucho caso acuerdate.,0,es,,
9780967673769,Princess Sultana's Circle,Jean P. Sasson,2002,,Arabie Saoudite,Describes the brutal reality of women living in Saudi Arabia and the continuing attempts of Princess Sultana to fight oppression and establish human rights.,0,en,,
9780684801469,A Farewell to Arms,Ernest Hemingway,1995,Scribner,Fiction,"The definitive edition of the classic World War I romance novel, featuring all of the alternate endings: “Fascinating…serves as an artifact of a bygone craft, with handwritten notes and long passages crossed out, giving readers a sense of an author’s process” (The New York Times). Written when Ernest Hemingway was thirty years old and lauded as the best American novel to emerge from World War I, A Farewell to Arms is the unforgettable tragic story of an American ambulance driver on the Italian front and his passion for a beautiful English nurse. Set against the looming horrors of the battlefield frontlines—weary, demoralized men marching in the rain during the German attack on Caporetto; the profound struggle between loyalty and desertion—this gripping, semiautobiographical work captures the harsh realities of war and the pain of lovers caught in its inexorable sweep. Ernest Hemingway famously said that he rewrote the ending to A Farewell to Arms thirty-nine times to get the words right. This edition collects all the alternative endings together for the first time, along with early drafts of other essential passages, offering new insight into Hemingway’s craft and creative process and the evolution of one of the greatest novels of the twentieth century. Featuring Hemingway’s own 1948 introduction to an illustrated reissue of the novel, a personal foreword by the author’s son Patrick Hemingway, and a new introduction by the author’s grandson Seán Hemingway, this edition of A Farewell to Arms is truly a celebration.",352,en,,
9780590412186,Henriette,Tracy Friedman,1988,Scholastic,Juvenile Fiction,Henriette the doll has never been outside on her own. Somehow she will get to Atlanta and find the orphanage where Amanda is staying.,68,en,,
9780912238777,The Art of Cooking for Two,"Coralie Castle, Astrid Newton",1976,,Cooking,,196,en,,
9780894807664,Dad's Own Cookbook,Bob Sloan,1993,Workman Publishing Company,Cooking,"It's time to become the new hero of the kitchen. Or at least put aside your fear of frying (not to mention sautéing, roasting, or tossing a salad). Dad's Own Cookbook shows how to do everything from handling a knife properly to juggling three dishes so that dinner comes together on schedule. Its lively charts, tips, and directions replace intimidation with pleasure and camaraderie, and its 150 great recipes will turn the most culinarily challenged dad into the family chef.",324,en,,
9780895295972,How to Teach Your Baby to Read,"Glenn Doman, Janet Doman",1994,Avery,Education,"This bestselling classic--with more than one million copies sold in hardcover--illustrates just how easy it is for children to learn to read. Doman shows clearly, and illustrates with fascinating case histories, just how to teach young children to read--and what a great benefit early reading is to both children and their parents.",294,en,,
9788425333224,El Arte de la Felicidad,"Dalai Lama XIV Bstan-'dzin-rgya-mtsho, Howard C. Cutler",1999,,Buddhism,,269,es,,
9780140154979,Harvest,Celia Brayfield,1996,,,"Three women, and the men who love them, are victims of a serial adulterer: Michael Knight. But this year, the crop of pain and anguish which Michael has sown will be harvested.",314,en,,
9780385318976,Walk on the Wild Side,"Dennis Rodman, Michael Silver",1997,,African American basketball players,"The shoot-from-the-lip basketball superstar is back and badder than ever in his inimitable 'guide to living' - as outrageous and inflammatory as the day-glo rebounder himself - a jolting, original, and enlightening follow-up to his number one bestseller 'Bad As I Wanna Be' which sold 800,000 copies in hardback alone!",0,en,,
9780671810160,The Virgin and the Vampire : a Novel,Robert John Myers,1977,"New York : Pocket Books ; Markham, Ont. : Distributed in Canada by PaperJacks",Vampires,"No one seemed able to accept the implications of the grisly murders in fashionable nineteenth-century Georgetown. Yet there were the two neat puncture wounds, clearly visible on each victim's throat. Even beautiful Letitia had trouble understanding it ... and Letitia was a vampire. Until the discovery of that first ravaged corpse, she had believed herself alone, the only vampire in Washington to enjoy the odd vices of the grave ...",207,en,,
9780060933296,Sandy Koufax,Jane Leavy,2003,Harper Collins,Biography & Autobiography,"Former award-winning ""Washington Post"" sportswriter Leavy delivers an uncommon baseball book, vividly re-creating the Koufax era, when presidents were believed and pitchers aspired to go the distance.",324,en,,
9780226764214,The Science of Energy,Crosbie Smith,1999,University of Chicago Press,Science,"Although we take it for granted today, the concept of ""energy"" transformed nineteenth-century physics. In The Science of Energy, Crosbie Smith shows how a North British group of scientists and engineers, including James Joule, James Clerk Maxwell, William and James Thomson, Fleeming Jenkin, and P. G. Tait, developed energy physics to solve practical problems encountered by Scottish shipbuilders and marine engineers; to counter biblical revivalism and evolutionary materialism; and to rapidly enhance their own scientific credibility. Replacing the language and concepts of classical mechanics with terms such as ""actual"" and ""potential"" energy, the North British group conducted their revolution in physics so astutely and vigorously that the concept of ""energy""—a valuable commodity in the early days of industrialization—became their intellectual property. Smith skillfully places this revolution in its scientific and cultural context, exploring the actual creation of scientific knowledge during one of the most significant episodes in the history of physics.",416,en,,
9780671509194,Trio,Aram Saroyan,1985,Simon & Schuster,Biography & Autobiography,"Their names alone evoke glamour: Oona O'Neill Chaplin, daughter of playwright Eugene O'Neill and child bride of Charlie Chaplin; Gloria Vanderbilt, heiress to one of America's great fortunes and fashion empress in her own right; Carol Marcus Saroyan Matthau, wife first of one of America's most beloved writers, later of one of Americas most successful actors. What few people know about these very public women is the very private friendship that has tied them together since childhood in a charmed--and charming--circle. Here Aram Saroyan, the son of one of the three--with lifetime access to the others--has captured this glittering trio in a narrative that is at once intimate, funny, bittersweet, and as deeply moving as the friendship it describes. In their own cadences, Saroyan evokes the voices of the individual women, and even as we come to know them individually, we see the strong bond that made them--from their early days as debutantes in prewar Manhattan--a trio: a study in eerie similarity and in unquestioning loyalty. In each of their lives the silver spoon was tarnished by early tragedy--the experience of having been, in one sense or another, orphaned--and all three grew up to enter early into deep, sometimes destructive relationships with powerful, creative men. Through it all, from the forties through the eighties, surrounded by a cast of friends (and suitors--and husbands), the three women remained firm friends.--From publisher description.",264,en,,
9780192816252,Lord Jim,John Batchelor,1983,"Oxford University Press, USA",Atonement,"This immortal novel of the sea tells the story of a British sailor haunted by a single youthful act of cowardly betrayal. To the white men in Bombay, Calcutta, and Rangoon, Jim is a man of mystery. To the primitive natives deep in the Malayan jungle, he is a god gifted with supernatural powers. To the beautiful half-caste girl who flees to his hut for protection, he is a lord to be feared and loved. Lord Jim-- Conrad' s classic portrait of a man' s guilt, his search for forgiveness, and his final, tragic redemption-- is a work of enduring value and one of the world' s great masterpieces.",426,en,,
9780425112595,Bullseye Iraq,Dan McKinnon,1988,Berkley Publishing Group,Fiction,True Story Of Saddam Hussein's Atomic Bomb Factory And The Air Strike That Destroyed It.,244,en,,
9780155928411,The Underside of American History,"Thomas R. Frazier, John Morton Blum",1971,Houghton Mifflin Harcourt P,History,Colonial American -- new nation -- the Ante-Bellum North and South -- westward expansion -- gilded age -- early twentieth century -- depression -- second world war and after -- revolt of the victims.,328,en,,
9780373117154,Southern Passions,Sara Wood,1993,Harlequin Books,Fiction,"Southern Passions by Sara Wood released on Nov 24, 1994 is available now for purchase.",200,en,,
9788845914911,Lune,Piero Meldini,1999,,Fiction,,158,it,,
9780821724033,Ecstasy's Fire,Rosalyn Alsobrook,1988,Zebra Books,Fiction,,520,en,,
9780192837509,The Black Tulip,Alexandre Dumas,2000,Oxford Paperbacks,Fiction,"Alexandre Dumas's novels are notable for their suspense and excitement, their foul deeds, hairsbreadth escapes, and glorious victories. In The Black Tulip (1850), the shortest of Dumas's most famous tales, the real hero is no Musketeer, but a flower. The novel - a deceptively simple story - is set in Holland in 1672, and weaves the historical events surrounding the brutal murder of John de Witte and his brother Cornelius into a tale of romantic love. The novel is also a timeless political allegory in which Dumas, drawing on the violence and crimes of history, makes his case against tyranny and puts all his energies into creating a symbol of justice and tolerance: the fateful tulipa negra. This new edition reprints the first, classic English translation. David Coward sets the novel in the context of its author's life, the turbulent history of the Dutch Republic, and the amazing `tulipmania' of the seventeenth century which brought wealth to some and ruin to many. - ;Alexandre Dumas's novels are notable for their suspense and excitement, their foul deeds, hairsbreadth escapes, and glorious victories. In The Black Tulip (1850), the shortest of Dumas's most famous tales, the real hero is no Musketeer, but a flower. The novel - a deceptively simple story - is set in Holland in 1672, and weaves the historical events surrounding the brutal murder of John de Witte and his brother Cornelius into a tale of romantic love. The novel is also a timeless political allegory in which Dumas, drawing on the violence and crimes of history, makes his case against tyranny and puts all his energies into creating a symbol of justice and tolerance: the fateful tulipa negra. This new edition reprints the first, classic English translation. David Coward sets the novel in the context of its author's life, the turbulent history of the Dutch Republic, and the amazing `tulipmania' of the seventeenth century which brought wealth to some and ruin to many. -",290,en,,
9780762700707,New York Off the Beaten Path,William G. Scheller,1997,,Travel,"Whatever you do when you travel, get off the highway. Who needs more bland rest stops and fast food? Get into the heart of things with Globe Pequot's Off the Beaten Path series. Devoted to travelers with a taste for the unique, this easy-to-use guide will help you discover the hidden places in the New York that most tourists miss - unsung, unspoiled, and out-of-the-way finds that liven up a week's vacation, a day trip, or an afternoon. Native or newcomer, use this guide to find historical and cultural information, detailed maps and driving directions, admission fees and hours of operation, restaurants, places to stay and much more.",292,en,,
9783426611456,Heimweg nach Kilmoran,Eileen Campbell,1999,,,,345,de,,
9780006742104,The Falcon's Malteser,Anthony Horowitz,1991,,,"When vertically challenged Johnny Naples entrusts Tim Diamond with a package worth over three million pounds, he's making a big mistake.",160,en,,
9780198605072,The King's English,"Henry Watson Fowler, F. G. Fowler, Francis George Fowler",2002,"Oxford University Press, USA",English language,"Had Dickens owned a copy of The King's English he would not have written 'your great ability and trustfulness'; he would have recognized the malapropism and realized that the context demanded trustworthiness. In this classic reference book the Fowler brothers illustrate by examples all theblunders of English usage that are commonly made, and guide the reader to improved expression and style.-- The essential guide to written English-- Examples of commonly-made grammatical blunders taken from famous authors and newspapers, eg Thackeray, Ruskin, De Quincey, The Times, The Spectator-- The ideal companion to Fowler's Modern English Usage",0,en,,
9781553697848,Could This Be My Child?,Syd Gregory,2002,Trafford Publishing,Fiction,"This book is about an 82-year-old-man who was forced in the dark of night, in his own home, and at knifepoint to father a child twenty-seven years ealier, and now believes he may have met the child and the child's mother. The story deals with how he and some of the other characters in the book attempt to prove or disprove his belief. Of course the child is now an adult but the child's mother feels she must protect her child in spite of the fact, and yet she truly understands the elderly mans desire to know the truth, whatever that might be.",332,en,,
9783608935219,Handbuch der Weisen von Mittelerde,"Wolfgang Krege, John Ronald Reuel Tolkien",1999,,,,493,de,,
9780312089283,Yuppie Scum,Sean Breckenridge,1993,St Martins Press,Fiction,"In a satire of the values of the 1980s yuppies, four young upwardly mobile professionals pack up their computers, portable phones, and other toys and drive to Manhattan in search of the friend who bankrupted them. A first novel.",313,en,,
9780671674366,Rock Star,Jackie Collins,1989,,Fiction,"With the fast-paced excitement and glamour that have made each of her books a major international bestseller, Jackie Collins now turns from the husbands and wives of Beverly Hills to the glittering world of big-time music-- the world of sex, drugs and rock and roll, in which hopes and dreams are as important as drop-dead ambition, ruthless power, and big money... ""Rock Star"" begins with an exclusive, expensive fund-raiser for Governor Jack Highland on the magnificent estate of the ruthlessly powerful and universally feared record magnate Marcus Citroen, and his icy wife, Nova, bringing together three of the biggest recording stars in the world: The Legend-- Kris Phoenix-- a brash, sexy English singer and legendary guitarist... The Survivor-- Bobby Mondella-- a handsome, black soul superstar, still recovering from a near-fatal accident... The Newcomer-- Raffealla-- an exotically beautiful girl of mixed race and wealthy parentage, who has every reason to sing the blues... The three of them attend the event reluctantly. Marcus Citroen has called in favors, and the time has come to pay. ""Rock Star"" is the story of their rise to fame and glory, of their triumphs and pains, their loves and their hates, their feuds and fights, interweaving their lives until the fateful night in Malibu, on Marcus Citroen's lush, ocean-front estate, where they finally meet their destiny... For this night of fabulous power and wealth has also attracted the attention of Maxwell Sicily, son of mob boss Carmen Sicily-- and Maxwell, masquerading as a waiter, intends to pull off the crime of his life... Copyright © Libri GmbH. All rights reserved.",516,en,,
9780345283924,The Empire Strikes Back,"Donald F. Glut, George Lucas",1980,,Empire strikes back (Motion picture),The further adventures of Luke Skywalker and his friends in their continuing battle against Darth Vader and the evil side of the Force.,228,en,3,1
9780671895679,How to Write Poetry,Nancy Bogen,1994,Arco Pub,Poetics.,"Based on line-by-line analyses of classic poems, this popular guide shows students how to use all the most common poetic forms and devices to develop their personal poetic style.",149,en,,
9780198207344,The Dutch Republic,Jonathan Irvine Israel,1998,Oxford University Press,History,"The Dutch Golden Age, known for its renowned artists and writers, was also remarkable for its immense impact on the spheres of commerce, finance, shipping, and technology. Israel gives the definitive account of the emergence of the United Provinces as a great power, its subsequent decline in the 18th century, and the changing relationship between the northern Netherlands and the south, which was to develop into modern Belgium. 32 color plates.",1231,en,5,1
9788423323500,Azul,Rosa Regàs,1994,Destino Ediciones,Fiction,"Azul es la relación de una intensa pasión amorosa entre una mujer, Andrea, periodista, casada y con una complicada vida social y un muchacho más joven. Martín Ures, que llega del interior de la península para descubrir un variado mundo de gentes y trabajos y, sobre todo, esa capacidad alquímica del amor que lo convierte en algo tan mutable y tan definitivamente peligroso.",246,es,,
9780771024801,A Saving Grace,Lorna Crozier,1996,,Poetry,Poems inspired by the fictitious character Mrs. Bentley in Sinclair Ross's novel As for me and my house.,120,en,,
9780451156136,Jade Darcy and the Affair of Honor,"Stephen Goldin, Mary Mason",1988,New Amer Library,Fiction,"Jade Darcy, the sole human on the planet Cablans and the last living member of her family, accepts a suicidal assignement against a race of violent alien conquerers",254,en,,
9780312956790,Rhinestone Cowboy,"Glen Campbell, Tom Carter",1995,Saint Martin's Paperbacks,Biography & Autobiography,"The singer recounts his former life as a philanderer, profligate, and drug and alcohol user--including his abusive relationship with Tanya Tucker--and his eventual conversion to religion and a stable marriage. Reprint. AB. LJ.",271,en,,
9783518413968,Hitze,Ralf Rothmann,2003,Suhrkamp Publishers,,"Inmitten des Berliner Kiez-und Kneipenmilieus wird Simon DeLoo, ehemaliger Kameramann und jetziger Grossküchen-Fahrer, durch die zarte Liebesbeziehung zu einer jungen Stadtstreicherin aus Polen vorübergehend von seiner Trauer und Schwermut befreit.",304,de,,
9780515121292,Waiting for Yesterday,Jenny Lykins,1997,Berkley,Ohio,"Columbus, Ohio, 1997. When Barrett Overbrook arrived at the roadside bed-and-breakfast, she was in an emotional tailspin from the current turn of events her life had taken. Soon after checking into her room, Barrett falls asleep. But by the next morning, her life will be changed forever as she awakens to find herself in the same place in the year 1887 taking part in an event that will change her life forever--childbirth! A Time Passages romance.",0,en,,
9780439973335,Discovering Dinosaurs,Valerie Wilding,2003,,Dinosaurs,"Gideon Mantell - the hard-working doctor of humble birth who devotes his life to unearthing fossils around his home town of Lewes. His most famous find is a skeleton which he names Iguanodon. Facing bankruptcy and the debtors prison, he is forced to sell his 25-year-old fossil collection. After an accident leaves him in severe pain, he dies of opium overdose, not credited in his lifetime for his achievements. Richard Owen - an anatomist with ambition. Climbs to the top of the scientific establishment by claiming the work of Mantell and others as his own. Names 'dinosaurs' in a fossil report based on Mantell's findings and is asked to provide models for the Crystal Palace, which are still there. Links his findings to the Biblical story of evolution and is eventually discredited following the publication of Darwin's Origin of the Species.",175,en,,
